Dimension,Target Ratio,b,alpha,k,DW-PMAD Accuracy,PCA Accuracy,Better Method,Difference
50,0.8,50,5,6,0.7586111111111111,0.7486111111111111,dw_pmad,0.01
50,0.8,50,25,15,0.8033333333333333,0.7943333333333333,dw_pmad,0.009
50,0.8,100,25,15,0.796,0.7943333333333333,dw_pmad,0.001666667
50,0.8,85,5,10,0.7763333333333333,0.775,dw_pmad,0.001333333
50,0.8,70,25,15,0.8011111111111111,0.7943333333333333,dw_pmad,0.006777778
50,0.8,50,5,10,0.7808333333333334,0.775,dw_pmad,0.005833333
50,0.8,100,5,15,0.7988888888888889,0.7943333333333333,dw_pmad,0.004555556
50,0.8,70,5,10,0.7771666666666667,0.775,dw_pmad,0.002166667
50,0.8,85,5,15,0.7954444444444444,0.7943333333333333,dw_pmad,0.001111111
50,0.8,50,5,15,0.8058888888888889,0.7943333333333333,dw_pmad,0.011555556
50,0.9,50,1,10,0.8506666666666667,0.8471666666666666,dw_pmad,0.0035
50,0.8,70,5,15,0.8011111111111111,0.7943333333333333,dw_pmad,0.006777778
50,0.9,70,1,10,0.8496666666666667,0.8471666666666666,dw_pmad,0.0025
50,0.8,85,25,3,0.7222222222222222,0.7216666666666667,dw_pmad,0.000555556
50,0.8,85,25,6,0.7508333333333334,0.7486111111111111,dw_pmad,0.002222222
50,0.8,85,25,10,0.7761666666666667,0.775,dw_pmad,0.001166667
50,0.8,85,25,15,0.8023333333333333,0.7943333333333333,dw_pmad,0.008
50,0.9,85,1,10,0.8478333333333333,0.8471666666666666,dw_pmad,0.000666667
50,0.9,50,25,10,0.8483333333333334,0.8471666666666666,dw_pmad,0.001166667
50,0.9,70,5,10,0.8543333333333333,0.8471666666666666,dw_pmad,0.007166667
50,0.9,85,5,10,0.8485,0.8471666666666666,dw_pmad,0.001333333
50,0.65,100,1,6,0.6272222222222222,0.6275,pca,-0.000277778
50,0.65,100,25,3,0.5777777777777777,0.5788888888888889,pca,-0.001111111
50,0.8,50,10,6,0.7475,0.7486111111111111,pca,-0.001111111
50,0.8,100,1,3,0.7211111111111111,0.7216666666666667,pca,-0.000555556
50,0.8,100,10,3,0.7183333333333334,0.7216666666666667,pca,-0.003333333
50,0.8,85,1,6,0.7388888888888889,0.7486111111111111,pca,-0.009722222
50,0.8,70,10,6,0.7483333333333333,0.7486111111111111,pca,-0.000277778
50,0.8,100,1,6,0.7441666666666666,0.7486111111111111,pca,-0.004444444
50,0.8,100,10,6,0.7419444444444444,0.7486111111111111,pca,-0.006666667
50,0.8,100,1,10,0.7723333333333333,0.775,pca,-0.002666667
50,0.8,100,10,10,0.7716666666666666,0.775,pca,-0.003333333
50,0.8,85,10,3,0.7216666666666667,0.7216666666666667,pca,0
50,0.8,85,10,6,0.7447222222222222,0.7486111111111111,pca,-0.003888889
50,0.8,100,5,3,0.7166666666666667,0.7216666666666667,pca,-0.005
50,0.8,100,25,6,0.7397222222222222,0.7486111111111111,pca,-0.008888889
50,0.9,50,10,3,0.8,0.8288888888888889,pca,-0.028888889
50,0.8,100,5,6,0.7486111111111111,0.7486111111111111,pca,0
50,0.8,100,25,10,0.7738333333333334,0.775,pca,-0.001166667
50,0.8,85,5,6,0.7469444444444444,0.7486111111111111,pca,-0.001666667
50,0.9,50,10,6,0.8252777777777778,0.835,pca,-0.009722222
50,0.9,50,1,3,0.8144444444444444,0.8288888888888889,pca,-0.014444444
50,0.8,100,5,10,0.7701666666666667,0.775,pca,-0.004833333
50,0.8,70,5,6,0.7486111111111111,0.7486111111111111,pca,0
50,0.9,70,1,3,0.8061111111111111,0.8288888888888889,pca,-0.022777778
50,0.9,50,10,10,0.845,0.8471666666666666,pca,-0.002166667
50,0.9,50,1,6,0.8233333333333334,0.835,pca,-0.011666667
50,0.9,70,1,6,0.8305555555555556,0.835,pca,-0.004444444
50,0.9,50,10,15,0.8614444444444445,0.8673333333333333,pca,-0.005888889
50,0.9,50,1,15,0.866,0.8673333333333333,pca,-0.001333333
50,0.9,70,1,15,0.865,0.8673333333333333,pca,-0.002333333
50,0.9,70,10,3,0.8061111111111111,0.8288888888888889,pca,-0.022777778
50,0.9,70,10,6,0.8172222222222222,0.835,pca,-0.017777778
50,0.9,70,10,10,0.8428333333333333,0.8471666666666666,pca,-0.004333333
50,0.9,70,10,15,0.86,0.8673333333333333,pca,-0.007333333
50,0.9,100,10,3,0.8072222222222222,0.8288888888888889,pca,-0.021666667
50,0.9,100,10,6,0.8222222222222222,0.835,pca,-0.012777778
50,0.9,100,10,10,0.843,0.8471666666666666,pca,-0.004166667
50,0.9,100,1,3,0.8127777777777778,0.8288888888888889,pca,-0.016111111
50,0.9,100,10,15,0.8643333333333333,0.8673333333333333,pca,-0.003
50,0.9,100,1,6,0.8208333333333333,0.835,pca,-0.014166667
50,0.9,100,1,10,0.8423333333333334,0.8471666666666666,pca,-0.004833333
50,0.9,100,1,15,0.8594444444444445,0.8673333333333333,pca,-0.007888889
50,0.9,85,1,3,0.8066666666666666,0.8288888888888889,pca,-0.022222222
50,0.9,85,1,6,0.8233333333333334,0.835,pca,-0.011666667
50,0.9,85,1,15,0.8617777777777778,0.8673333333333333,pca,-0.005555556
50,0.9,85,10,3,0.8122222222222222,0.8288888888888889,pca,-0.016666667
50,0.9,85,10,6,0.8258333333333333,0.835,pca,-0.009166667
50,0.9,85,10,10,0.8451666666666666,0.8471666666666666,pca,-0.002
50,0.9,85,10,15,0.8623333333333333,0.8673333333333333,pca,-0.005
50,0.9,50,25,3,0.8122222222222222,0.8288888888888889,pca,-0.016666667
50,0.9,50,25,6,0.8222222222222222,0.835,pca,-0.012777778
50,0.9,100,25,3,0.8172222222222222,0.8288888888888889,pca,-0.011666667
50,0.9,100,25,6,0.8302777777777778,0.835,pca,-0.004722222
50,0.9,50,25,15,0.8613333333333333,0.8673333333333333,pca,-0.006
50,0.9,100,25,10,0.847,0.8471666666666666,pca,-0.000166667
50,0.9,70,25,3,0.81,0.8288888888888889,pca,-0.018888889
50,0.9,100,25,15,0.8608888888888889,0.8673333333333333,pca,-0.006444444
50,0.9,70,25,6,0.8186111111111111,0.835,pca,-0.016388889
50,0.9,70,25,10,0.8428333333333333,0.8471666666666666,pca,-0.004333333
50,0.9,70,25,15,0.8638888888888889,0.8673333333333333,pca,-0.003444444
50,0.9,70,5,3,0.8094444444444444,0.8288888888888889,pca,-0.019444444
50,0.9,70,5,6,0.8338888888888889,0.835,pca,-0.001111111
50,0.9,70,5,15,0.8672222222222222,0.8673333333333333,pca,-0.000111111
50,0.9,100,5,3,0.8033333333333333,0.8288888888888889,pca,-0.025555556
50,0.9,100,5,6,0.8194444444444444,0.835,pca,-0.015555556
50,0.9,100,5,10,0.8406666666666667,0.8471666666666666,pca,-0.0065
